path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				Ставропольский танцевальный коллектив «Лаки Джем» стал лидером Олимпиады по современным танцам в Москве	05.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskiy-tantsevalnyy-kollektiv-laki-dzhem-stal-liderom-o/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В честь Дня Победы звонки и телеграммы однополчанам – бесплатно	05.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-chest-dnya-pobedy-zvonki-i-telegrammy-odnopolchanam-besplatn/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Фокус на инновационные продукты: ЕвроХим предлагает клиентам комплексные решения для повышения эффективности	04.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/fokus-na-innovatsionnye-produkty-evrohim-predlagaet-klientam-k/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Центробанк снизил ключевую ставку до 9,25 процента	28.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/tsentrobank-snizil-klyuchevuyu-stavku-do-925-protsenta/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольский спортсмен Кузнецов привёз победу из Канады	27.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskiy-sportsmen-kuznetsov-privyoz-pobedu-iz-kanady/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ кредитует АО «Информационные спутниковые системы им. академика М.Ф. Решетнёва»	26.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-kredituet-ao-informatsionnye-sputnikovye-sistemy-im-akadem/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» приглашает детей ЮФО и СКФО рисовать мир	24.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-priglashaet-detey-yufo-i-skfo-risovat-mir/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» и ПФР организовали Третий Всероссийский конкурс «Спасибо интернету - 2017»	19.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-i-pfr-organizovali-tretiy-vserossiyskiy-konkurs-spa/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» запустил платформу информационно-библиотечных центров	19.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-zapustil-platformu-informatsionno-bibliotechnyh-tse/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Андрей Джатдоев выступил с докладом в Совете Федерации	17.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/andrey-dzhatdoev-vystupil-s-dokladom-v-sovete-federatsii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Кристина Булгакова завоевала серебро на Кубке Европы по дзюдо	17.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/kristina-bulgakova-zavoevala-serebro-na-kubke-evropy-po-dzyudo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Сборная России победила на Чемпионате Европы по тяжёлой атлетике	17.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/sbornaya-rossii-pobedila-na-chempionate-evropy-po-tyazhyoloy-a/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» стал генеральным партнером Всероссийского конкурса «Позитивный контент»	17.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-stal-generalnym-partnerom-vserossiyskogo-konkursa-p/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Российские банки снижают ставки по вкладам	12.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rossiyskie-banki-snizhayut-stavki-po-vkladam/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставрополец Имам Шихшабеков завоевал серебро на Чемпионате России по вольной борьбе	12.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolets-imam-shihshabekov-zavoeval-serebro-na-chempionate/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Треть всех покупок россияне оплачивают безналично	12.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/tret-vseh-pokupok-rossiyane-oplachivayut-beznalichno/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Автогражданку» полностью переведут на электронные полисы ОСАГО	12.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/avtograzhdanku-polnostyu-perevedut-na-elektronnye-polisy-osago/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Реальный курс рубля в первом квартале укрепился на треть	12.04.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/realnyy-kurs-rublya-v-pervom-kvartale-ukrepilsya-na-tret/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
